Total,Sport,Age,Height,Weight,Sex,HWbmi
0,Tennis,23,180,69,F,21.2962963
0,Tennis,21,180,69,M,21.2962963
0,Cycling - Road,28,180,65,M,20.0617284
0,Basketball,28,178,64,F,20.19946976
0,Basketball,19,182,79,F,23.8497766
0,Cycling - Road,33,,,F,
0,Cycling - Road,25,179,73,M,22.78330889
0,Cycling - Road,37,179,79,M,24.65590962
0,Tennis,26,190,77,M,21.32963989
0,Cycling - Road,30,184,82,M,24.22022684
0,Basketball,23,195,82,F,21.56476003
0,Cycling - Road,28,180,73,M,22.5308642
0,Tennis,27,180,78,F,24.07407407
0,Cycling - Road,27,160,52,F,20.3125
0,Cycling - Road,31,178,67,F,21.14631991
0,Basketball,28,204,112,M,26.91272587
0,Basketball,34,202,110,M,26.95814136
0,Cycling - Road,26,184,75,M,22.1526465
0,Tennis,27,170,56,F,19.37716263
0,Cycling - Road,31,194,80,M,21.25624402
0,Tennis,25,190,77,M,21.32963989
0,Cycling - Road,21,,,M,
0,Basketball,26,207,110,M,25.67154426
0,Basketball,34,203,104,M,25.23720546
0,Cycling - Road,33,178,78,M,24.61810377
0,Cycling - Road,25,168,52,F,18.42403628
0,Basketball,35,168,62,F,21.96712018
0,Tennis,29,181,63,F,19.23018223
0,Basketball,21,190,83,F,22.99168975
0,Basketball,22,196,100,M,26.03082049
0,Tennis,20,188,82,M,23.20054323
0,Cycling - Road,35,180,74,M,22.83950617
0,Cycling - Road,28,171,60,F,20.51913409
0,Tennis,21,183,71,F,21.20099137
0,Tennis,31,180,68,M,20.98765432
0,Basketball,29,211,125,M,28.07663799
0,Tennis,25,175,60,F,19.59183673
0,Basketball,28,189,75,F,20.99605274
0,Basketball,23,,,F,
0,Basketball,32,179,71,F,22.15910864
0,Tennis,35,180,73,F,22.5308642
0,Cycling - Road,28,179,71,M,22.15910864
0,Tennis,27,191,87,M,23.84803048
0,Basketball,22,208,107,M,24.7318787
0,Basketball,27,206,,M,
0,Basketball,28,198,94,M,23.97714519
0,Cycling - Road,27,183,70,M,20.90238586
0,Basketball,24,204,91,M,21.86658977
0,Cycling - Road,26,188,80,M,22.63467632
0,Tennis,27,206,104,M,24.50749364
0,Tennis,25,188,88,M,24.89814396
0,Tennis,24,181,75,M,22.89307408
0,Basketball,24,198,100,F,25.50760127
0,Tennis,24,173,65,F,21.71806609
0,Basketball,30,180,68,F,20.98765432
0,Basketball,28,183,77,F,22.99262444
0,Cycling - Road,19,173,62,F,20.71569381
0,Tennis,17,167,66,F,23.66524436
0,Basketball,31,196,85,F,22.12619742
0,Basketball,27,203,113,M,27.4211944
0,Tennis,27,171,64,F,21.88707637
0,Basketball,28,205,107,M,25.4610351
0,Tennis,27,173,64,F,21.383942
0,Basketball,20,187,77,F,22.01950299
0,Basketball,30,201,87,M,21.53412044
0,Basketball,34,199,100,M,25.25188758
0,Basketball,36,192,92,M,24.95659722
0,Tennis,28,185,82,M,23.95909423
0,Basketball,31,172,63,F,21.29529475
0,Cycling - Road,30,173,62,M,20.71569381
0,Basketball,27,182,70,F,21.13271344
0,Cycling - Road,28,167,58,F,20.79672989
0,Basketball,23,194,93,M,24.71038368
0,Basketball,32,188,88,F,24.89814396
0,Basketball,27,180,78,F,24.07407407
0,Tennis,23,198,97,M,24.74237323
0,Cycling - Road,25,177,72,M,22.98190175
0,Basketball,25,195,92,M,24.19460881
0,Basketball,32,204,102,M,24.50980392
0,Basketball,18,202,75,M,18.38055093
0,Basketball,25,186,81,F,23.41311134
0,Basketball,33,172,52,F,17.57706869
0,Tennis,32,188,84,M,23.76641014
0,Cycling - Road,23,180,72,M,22.22222222
0,Basketball,35,192,95,M,25.77039931
0,Basketball,27,211,114,M,25.60589385
0,Basketball,27,208,114,M,26.34985207
0,Tennis,25,185,81,M,23.66691015
0,Tennis,28,174,63,F,20.80856124
0,Tennis,24,172,73,F,24.67550027
0,Basketball,30,203,100,M,24.26654372
