Total ,Sport,Age,Height,Weight,Sex
0,Football,21,163,52,F
0,Athletics,29,164,54,F
0,Boxing,25,,,M
0,Rowing,22,199,95,M
0,Water Polo,29,188,77,F
0,Athletics,31,193,139,M
1,Cycling - Road,38,173,58,F
0,Swimming,22,178,80,M
0,Swimming,24,,,M
1,"Cycling - Road, Cycling - Track",36,173,59,F
0,Gymnastics - Artistic,24,168,,M
0,Volleyball,27,185,72,F
0,Volleyball,35,194,95,M
0,Weightlifting,20,193,105,M
0,Swimming,18,170,60,F
0,Judo,20,163,60,M
0,Shooting,25,165,59,F
0,Athletics,23,178,62,M
0,Basketball,29,190,77,F
0,Athletics,29,195,92,M
0,Swimming,17,188,79,M
0,Athletics,26,177,59,F
0,Table Tennis,23,,73,M
0,Shooting,25,168,85,F
0,Wrestling,24,182,96,M
0,Beach Volleyball,27,176,67,F
0,Tennis,28,177,70,F
0,Athletics,24,173,57,F
0,Athletics,24,180,76,M
0,Athletics,22,167,54,F
0,Shooting,25,165,55,F
0,Modern Pentathlon,28,160,48,F
0,Beach Volleyball,36,199,95,M
0,Hockey,25,164,60,F
0,Athletics,22,177,58,F
0,Football,27,166,64,F
0,Athletics,30,187,82,M
0,Wrestling,19,172,60,M
0,Athletics,20,,,F
0,Shooting,54,157,60,F
0,Swimming,19,173,64,F
0,Athletics,26,172,70,M
0,Football,23,166,56,F
0,Athletics,32,171,58,M
0,Shooting,36,158,65,F
0,Rowing,27,181,72,M
0,Swimming,21,174,62,F
0,Fencing,25,187,84,M
0,Table Tennis,21,194,92,M
0,Athletics,26,161,42,F
0,Athletics,24,168,53,F
0,Judo,20,175,78,F
0,Athletics,25,167,56,F
0,Athletics,26,179,68,M
0,Athletics,27,152,52,F
0,Taekwondo,23,158,,F
0,Wrestling,30,180,96,M
0,Weightlifting,21,162,62,M
0,Volleyball,20,200,84,M
0,Athletics,27,170,55,F
0,Swimming,18,179,70,M
0,Cycling - Mountain Bike,25,179,70,M
0,Athletics,26,188,118,M
0,Athletics,28,185,88,M
0,Swimming,23,173,71,F
0,Athletics,22,165,55,F
0,Triathlon,32,176,68,M
0,Handball,28,190,90,M
0,Boxing,26,186,,M
0,Judo,28,178,81,M
0,Athletics,19,,,F
0,Hockey,27,161,60,F
0,Swimming,20,171,60,F
0,Fencing,23,167,66,F
0,Football,23,187,77,M
0,Basketball,28,185,82,F
2,Equestrian,25,170,58,F
0,Athletics,30,164,44,F
0,Basketball,28,185,75,F
0,Badminton,30,168,62,F
0,Athletics,28,179,73,M
0,Weightlifting,19,178,85,M
0,Judo,27,173,75,F
0,Judo,29,188,100,M
0,Athletics,23,183,90,M
0,Athletics,27,175,100,F
0,Swimming,19,190,82,M
0,Cycling - Track,22,167,63,M
1,Archery,18,164,61,F
0,Wrestling,35,177,84,M
0,Fencing,23,178,70,M
0,Athletics,24,185,95,M
0,Swimming,20,175,65,F
0,Judo,25,165,66,M
0,Wrestling,21,160,55,F
0,Fencing,23,174,67,M
0,Cycling - Track,24,166,60,M
0,Athletics,24,182,82,M
0,Fencing,25,180,75,M
0,Athletics,22,173,51,F
0,Wrestling,27,189,96,M
0,Swimming,21,168,60,M
0,Volleyball,21,186,68,F
0,Athletics,26,169,54,F
0,Athletics,22,180,58,F
0,Athletics,20,168,58,M
0,Handball,27,180,66,F
0,Athletics,22,180,59,F
0,Basketball,24,183,78,F
0,Rowing,24,167,58,F
0,Hockey,34,178,58,F
0,Boxing,28,158,,M
0,Wrestling,23,178,74,M
0,Wrestling,30,191,120,M
0,Shooting,39,177,88,M
0,Tennis,23,182,67,F
0,Athletics,26,167,54,F
0,Equestrian,52,180,74,M
0,Water Polo,30,185,91,M
0,Gymnastics - Artistic,16,162,,F
0,Athletics,23,175,63,M
0,Taekwondo,24,192,,M
0,Taekwondo,17,174,,F
0,Rowing,23,178,73,M
0,Football,22,179,75,M
0,Athletics,21,172,60,M
0,Boxing,29,172,,M
0,Athletics,20,175,62,M
0,Wrestling,22,190,120,M
0,Badminton,27,186,82,M
0,Athletics,22,178,68,M
0,Table Tennis,33,175,71,M
0,Beach Volleyball,24,193,90,M
0,Athletics,23,179,70,F
0,Athletics,27,160,48,F
0,Triathlon,24,170,58,F
0,Athletics,22,188,80,M
0,Football,21,189,83,M
0,Swimming,21,180,73,M
0,Football,21,196,94,M
0,Table Tennis,23,156,48,F
0,Synchronised Swimming,21,176,,F
0,Gymnastics - Rhythmic,17,170,,F
0,Athletics,20,168,150,M
0,Football,25,194,90,M
0,Swimming,18,167,54,F
0,Sailing,28,189,84,M
